LSOA11 Code,Public transport accessibility metric
E01001591,0
E01001592,0
E01001593,0
E01001594,0
E01001595,0
E01001596,2
E01001597,2
E01001598,0
E01001599,1
E01001600,0
E01001601,0
E01001602,2
E01001603,1
E01001604,0
E01001605,1
E01001606,1
E01001607,0
E01001608,1
E01001609,0
E01001610,2
E01001611,0
E01001613,1
E01001614,2
E01001615,0
E01001617,1
E01001618,1
E01001619,1
E01001620,0
E01001621,0
E01001623,0
E01001624,0
E01001625,0
E01001629,0
E01001631,0
E01001632,0
E01001633,1
E01001634,0
E01001635,1
E01001636,0
E01001637,1
E01001638,0
E01001640,0
E01001641,0
E01001642,0
E01001644,0
E01001645,2
E01001646,3
E01001647,0
E01001648,3
E01001649,3
E01001650,0
E01001651,1
E01001652,0
E01001653,1
E01001654,3
E01001655,1
E01001656,2
E01001657,0
E01001658,1
E01001659,1
E01001660,2
E01001661,0
E01001662,0
E01001664,0
E01001665,0
E01001666,0
E01001667,0
E01001668,0
E01001669,0
E01001671,1
E01001672,0
E01001673,0
E01001674,0
E01001675,0
E01001676,0
E01001677,0
E01001678,1
E01001679,2
E01001680,4
E01001681,1
E01001682,2
E01001683,1
E01001684,2
E01001685,1
E01001686,1
E01001687,0
E01001688,2
E01001690,2
E01001692,2
E01001693,2
E01001694,2
E01001695,0
E01001696,0
E01001697,1
E01001698,1
E01001699,1
E01001700,1
E01001701,1
E01001702,1
E01001703,1
E01001704,1
E01001705,0
E01001706,1
E01001708,0
E01001709,1
E01001710,0
E01001711,2
E01001712,0
E01001713,1
E01001714,0
E01001715,0
E01001716,0
E01001717,1
E01001718,0
E01001719,0
E01001720,0
E01001722,0
E01001723,0
E01001724,0
E01001725,0
E01001726,0
E01001727,0
E01001728,0
E01001729,0
E01001730,0
E01001731,0
E01001732,0
E01001733,0
E01001734,0
E01001735,0
E01001736,0
E01001737,0
E01001738,0
E01001739,0
E01001740,0
E01001741,0
E01001742,0
E01001744,0
E01001745,0
E01001746,0
E01001747,0
E01001748,0
E01001749,0
E01001750,0
E01001751,0
E01001752,0
E01001753,0
E01001754,0
E01001755,0
E01001756,0
E01001757,0
E01001758,0
E01001759,0
E01001760,0
E01001761,0
E01001762,0
E01001763,0
E01001764,0
E01001765,0
E01001767,0
E01001768,0
E01001769,0
E01001770,0
E01001772,0
E01001773,0
E01001774,0
E01001775,0
E01001776,0
E01001777,0
E01001779,0
E01001780,0
E01001781,0
E01001782,0
E01001783,0
E01001784,0
E01001785,0
E01001786,0
E01001787,0
E01001788,0
E01001789,0
E01001790,1
E01001791,0
E01001792,0
E01001793,0
E01001794,0
E01001795,0
E01001796,0
E01001798,0
E01001799,0
E01001800,0
E01001801,0
E01001802,0
E01001803,0
E01001804,0
E01001805,0
E01001806,0
E01001807,0
E01001808,0
E01001809,0
E01001811,0
E01001812,0
E01001813,0
E01001814,0
E01001815,0
E01001816,0
E01001819,0
E01001820,0
E01001821,0
E01001822,0
E01001823,1
E01001824,0
E01001825,0
E01001826,0
E01001827,0
E01001828,0
E01001829,0
E01001830,0
E01001831,0
E01001832,0
E01001833,0
E01001834,0
E01001835,0
E01001836,0
E01001837,0
E01001838,0
E01001839,0
E01001840,0
E01001841,0
E01001842,0
E01001843,0
E01001844,0
E01001845,0
E01001846,0
E01001847,0
E01001848,0
E01001849,0
E01001850,0
E01001851,0
E01001852,0
E01001853,0
E01001854,0
E01001855,1
E01001856,0
E01001857,0
E01001858,0
E01001859,1
E01001860,0
E01001861,0
E01001862,0
E01001863,0
E01001864,0
E01001865,0
E01001866,0
E01001867,0
E01001868,0
E01001869,0
E01001870,0
E01001871,0
E01001872,0
E01001873,0
E01001874,0
E01001875,0
E01001876,0
E01001877,0
E01001878,0
E01001879,0
E01001880,0
E01001881,0
E01001882,0
E01001883,0
E01001884,0
E01001885,0
E01001886,0
E01001887,0
E01001888,0
E01001889,0
E01001890,0
E01001891,0
E01001892,0
E01001893,0
E01001894,0
E01001895,0
E01001896,0
E01001897,0
E01001898,0
E01001899,0
E01001900,0
E01001901,0
E01001902,0
E01001903,0
E01001904,0
E01001905,0
E01001906,0
E01001907,0
E01001908,0
E01001909,0
E01001910,1
E01001911,0
E01001912,0
E01001913,0
E01001914,0
E01001915,0
E01001916,0
E01001917,0
E01001918,0
E01001919,0
E01001920,0
E01001921,0
E01001922,0
E01001923,0
E01001924,0
E01001925,0
E01001926,0
E01001927,0
E01001928,0
E01001929,0
E01001930,0
E01001931,0
E01001932,0
E01001933,0
E01001934,0
E01001935,0
E01001937,0
E01001938,0
E01001939,0
E01001940,0
E01001941,0
E01001942,0
E01001943,0
E01001944,0
E01001945,0
E01001946,0
E01001947,0
E01001948,0
E01001949,0
E01001950,0
E01001951,0
E01001952,0
E01001953,0
E01001954,0
E01001955,0
E01001956,0
E01001957,0
E01001958,1
E01001959,0
E01001960,0
E01001961,0
E01001962,0
E01001963,0
E01001964,1
E01001965,1
E01001966,1
E01001967,1
E01001968,0
E01001969,0
E01001970,0
E01001971,0
E01001972,0
E01001973,0
E01001974,0
E01001975,0
E01001976,0
E01001977,1
E01001978,0
E01001979,0
E01001980,0
E01001981,0
E01001982,0
E01001983,0
E01001984,0
E01001985,0
E01001986,0
E01001987,0
E01001988,0
E01001989,0
E01001990,0
E01001991,0
E01001992,0
E01001993,0
E01001994,0
E01001995,1
E01001996,0
E01001997,0
E01001998,0
E01001999,0
E01002000,0
E01002001,0
E01002002,0
E01002003,0
E01002004,0
E01002005,1
E01002006,0
E01002007,0
E01002008,0
E01002009,0
E01002010,0
E01002011,0
E01002013,0
E01002014,0
E01002015,0
E01002016,0
E01002017,0
E01002018,1
E01002019,0
E01002020,0
E01002021,0
E01002022,0
E01002023,0
E01002024,0
E01002025,0
E01002026,0
E01002027,0
